"","stock.id","species","stock.name","lat","lon","begin","end","total.years","used.years","median.spawners","range.spawners","median.recruits","range.recruits","source","comments","stock.id.new"
"12",138,"Sockeye","Copper-Sockeye","60.46","-144.96",1958,2013,56,50,574228.65025,747814.5012,1591717.5,2642351,"Rich Brenner, 2017, ADF&G, Juneau, AK","Used the ""Wild_BY_Return"" worksheet.  Hatchery component of the run was removed by subtracting hatchery salmon post season and assuming age composition matches that of hatchery fish; upper and lower river values combined because runs not identified in harvests. With wild vs. hatchery, and delta vs. upriver components, the Copper River can get really complicated. Also, the Miles Lake sonar cannot distinguish between various species. Thus, Chinook salmon are subtracted from the sonar counts post-season, as are estimates of fish harvest upriver in personal use and subsistence fisheries.",12
"13",116,"Sockeye","Cultus-Sockeye","49.12","-123.06",1948,2015,68,49,4989,29810,25123,280371,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)","Hatchery fish released starting in 2000",13
"14",149,"Sockeye","Early Karluk-Sockeye","57.57","-154.45",1976,2016,41,30,260970,404044,432166,800220,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner","Smolts enter ocean at BY+3 or BY+4",14
"15",102,"Sockeye","Early Stuart-Sockeye","49.12","-123.06",1948,2015,68,62,20804,386583,145593,1811419,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,15
"16",146,"Sockeye","Early Upper Station-Sockeye","57.06","-154.36",1969,2016,48,42,40552.5,160285,68980.5,282563,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner","Early run",16
"17",156,"Sockeye","Egegik-Sockeye","58.25","-157.38",1955,2017,63,49,1095192,2458083,5441583,25354383,"Curry Cunningham, 2016, University of Alaska/University of Washington","All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions",17
"18",140,"Sockeye","Eshamy-Sockeye","60.47","-147.94",1961,2011,51,35,26178,67496,50750,269541.5,"Rich Brenner, 2017, ADF&G, Juneau, AK","the weir was replaced in ~2012 with a video system that has not been entirely successful. Thus, only data until 2012 should be used for brood-year returns.",18
"19",104,"Sockeye","Fennell-Sockeye","49.12","-123.06",1948,2015,68,46,3070,15404,15119,78064,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,19
"20",144,"Sockeye","Frazer-Sockeye","57.13","-154.04",1966,2016,51,44,138248,471794,331838,2197562,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,20
"21",105,"Sockeye","Gates-Sockeye","49.12","-123.06",1948,2015,96,44,3091.5,26419,31231,319131,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)","Spawning channel",21
"22",164,"Sockeye","Goodnews-Sockeye","59.11","-161.62",1981,2015,35,29,37933,112073,55925,122680,"Zachary Liller, ADF&G Research Coordinator for AYK, via Rich Brenner","Middle Fork of Goodnews River was provided to Rich Brenner by Zachary Liller, ADF&G Research Coordinator for AYK (Division of Commercial Fisheries), on 22 August 2017.",22
"23",117,"Sockeye","Harrison-Sockeye","49.12","-123.06",1948,2015,68,62,5817.5,399489,41369,1634818,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)","Fry go to sea at BY+1",23
"24",162,"Sockeye","Igushik-Sockeye","58.68","-158.8",1955,2017,63,50,306498,1928022,637422,2711558,"Curry Cunningham, 2016, University of Alaska/University of Washington","All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions",24
"25",142,"Sockeye","Kasilof-Sockeye","60.39","-151.3",1968,2016,49,43,218826,484856.43396,751567,1742524,"Mark Willette, ADF&G, upper Cook Inlet, via Rich Brenner","Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)",25
"26",141,"Sockeye","Kenai-Sockeye","60.54","-151.28",1968,2016,49,43,776880,1953735.9,3052634,9925680,"Mark Willette, ADF&G, upper Cook Inlet, via Rich Brenner","Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)",26
"27",159,"Sockeye","Kvichak-Sockeye","58.85","-157.03",1955,2017,63,50,3393095,24099372,6940080.5,45185365,"Curry Cunningham, 2016, University of Alaska/University of Washington","1980 escapement reduced by 5 million because they died in high water at the falls (G. Ruggerone)",27
"28",150,"Sockeye","Late Karluk-Sockeye","57.57","-154.45",1976,2016,41,31,396288,790268,722861,1669965,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner","Smolts enter ocean at BY+3 or BY+4",28
"29",118,"Sockeye","Late Shuswap-Sockeye","49.12","-123.06",1948,2015,68,59,44632,3073174,380032,17567083,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,29
"30",112,"Sockeye","Late Stuart-Sockeye","49.12","-123.06",1948,2015,68,62,13717.5,744549,122809,5324023,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,30
"31",147,"Sockeye","Late Upper Station-Sockeye","57.06","-154.36",1970,2016,47,41,176783,371576,360209,1569571,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner","Late run",31
"32",106,"Sockeye","Nadina-Sockeye","49.12","-123.06",1948,2015,68,39,4514,64548,46853,543411,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)","Spawning channel",32
"33",157,"Sockeye","Naknek-Sockeye","58.78","-157.08",1955,2017,63,50,1221615,3221832,3981353.5,12106418,"Curry Cunningham, 2016, University of Alaska/University of Washington","All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions",33
"34",127,"Sockeye","Nass (Meziadin)-Sockeye","54.96","-129.9",1972,2017,46,39,158687,542118,439522.8506,1657732.805,"Richard Alexander, 2018, LGL via Greg Ruggerone",NA,34
"35",153,"Sockeye","Nelson-Sockeye","55.96","-161.28",1978,2016,39,30,204433.5,372097,502813.5,954542,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,35
"36",160,"Sockeye","Nushagak-Sockeye","58.82","-158.49",1955,2017,63,50,512786.6337,3629285.85024,1407792.5,5901806,"Curry Cunningham, 2016, University of Alaska/University of Washington","Excluded Nushagak before 1985 because escapement based on aerial surveys rather than sonar.  Sonar chnaged from Bendix to Didson in recenct years but some standardization.",36
"37",124,"Sockeye","Owikeno-Sockeye","51.68","-127.25",1987,2010,24,24,108750,456000,112856.5,797627,"Karl English (LGL) June 23 2014 via Jim Irvine (DFO)",NA,37
"38",107,"Sockeye","Pitt-Sockeye","49.12","-123.06",1948,2015,68,62,10414,72514,62271,213162,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)","Large hatchery influence that could not be separated out",38
"39",119,"Sockeye","Portage-Sockeye","49.12","-123.06",1948,2015,68,57,1759,26682,20069,210937,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,39
"40",113,"Sockeye","Quesnel-Sockeye","49.12","-123.06",1948,2015,68,62,14087,1740445,65221,12545074,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,40
"41",108,"Sockeye","Raft-Sockeye","49.12","-123.06",1948,2015,68,62,2919.5,27470,22985.5,113935,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,41
"42",129,"Sockeye","Redoubt-Sockeye","56.9","-135.33",1982,2016,35,29,23987.72021,103497.0144338,29226,135710,"Rich Brenner, 2017, ADF&G, Juneau, AK","Dominant age classes estimated from escapement age; Used RR 1 sheet.",42
"43",109,"Sockeye","Scotch-Sockeye","49.12","-123.06",1948,2015,68,40,2341,273885,18028,1036299,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,43
"44",110,"Sockeye","Seymour-Sockeye","49.12","-123.06",1948,2015,68,61,7416,287185,59563,1069597,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,44
"45",130,"Sockeye","Speel-Sockeye","57.97","-133.87",1983,2013,31,0,NA,NA,NA,NA,"Rich Brenner, 2017, ADF&G, Juneau, AK","Dominant age classes estimated from escapement age; missing values present. Sockeye hatchery nearby.  Some hatchery fry stocked.  Therefore excluded Speel",45
"46",114,"Sockeye","Stellako-Sockeye","49.12","-123.06",1948,2015,68,62,41703.5,189643,323206.5,1892587,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,46
"47",163,"Sockeye","Togiak-Sockeye","58.95","-160.45",1950,2017,68,56,187736,501750,553242,1288757,"Greg Buck, 2017, ADFG",NA,47
"48",155,"Sockeye","Ugashik-Sockeye","57.5","-157.6",1955,2017,63,50,807358,3296296,3082459.5,8017846,"Curry Cunningham, 2016, University of Alaska/University of Washington","All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions",48
"49",101,"Sockeye","Washington-Sockeye","47.48","-122.42",1967,2011,45,44,160899,430448,172145,677042,"Aaron Dufault 2017
Arron Dufault, Washington Department of Fish and Wildlife, Olympia, WA (via G. Ruggerone)","Hatchery component of the run was removed; FW age assumed to be 1.X.  These sockeye grow fast in the lake.",49
"50",120,"Sockeye","Weaver-Sockeye","49.12","-123.06",1948,2015,68,46,24066,114414,244879.5,1505286,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)","Spawning channel present",50
"51",161,"Sockeye","Wood-Sockeye","58.82","-158.62",1955,2017,63,50,1251717,3677628,3771919.5,7419120,"Curry Cunningham, 2016, University of Alaska/University of Washington","All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions",51
"52",301,"Chum","Willapa Bay-Chum","46.3733","123.9575",1968,2011,44,38,30771.5,77106,41274,245520,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA","",52
"53",302,"Chum","Grays Harbour-Chum","46.95083","124.0497",1969,2011,43,35,17115,54175,25044,191310,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA","",53
"54",303,"Chum","S Sound Summer-Chum","47.042","122.835",1968,2010,43,37,16001,119777,41801,197323,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA","",54
"55",304,"Chum","S Sound Fall-Chum","47.042","122.835",1968,2010,43,38,91851,348706,297844.5,1051699,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA","",55
"56",305,"Chum","S Sound Winter-Chum","47.042","122.835",1968,2010,43,38,28896.5,183112,52256,341280,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA","",56
"57",306,"Chum","Hood Canal-Chum","47.5644","122.9956",1968,2010,43,38,41650.5,244683,151906.5,601632,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA","",57
"58",307,"Chum","Port Susan-Chum","48.23861","122.3758",1968,2010,43,38,47575,362625,80625.5,641666,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA","Sum of Stillaguamish and Snohomish stocks",58
"59",308,"Chum","Skagit-Chum","48.3875","122.3656",1968,2010,43,38,46003.5,205546,67166,415036,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA","",59
"60",309,"Chum","Bellingham-Chum","48.775","122.5978",1968,2010,43,38,28863,99523,59865.5,164512,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA","Sum of Nooksack and Samish stocks",60
"61",310,"Chum","Fraser-Chum","49.12333","123.0569",1959,1998,40,33,340542,1191310,736699.04,1889271.36,"Ryall, P., C. Murray, V. Palermo, D. Bailey, and D. Chen. 1999. Status of Clockwork Chum Salmon Stock and Review of the Clockwork Management Strategy. Technical report, Canadian Department of Fisheries and Oceans, Canadian Stock Assessment Secretariat Research Document 99/169","",61
"62",311,"Chum","BC South (no Fraser)-Chum","50.28778","125.2008",1953,2006,54,50,775475.5,1908718,1095223.5,2856317,"Pieter Van Will, Fisheries and Oceans Canada (DFO), Port Hardy, BC; Van Will, P., R. Brahniuk, L. Hop Wo, and G. Pestal. 2009. Certification Unit Profile: Inner South Coast Chum Salmon (Excluding Fraser River). Technical report, Canadian Manuscript Report of Fisheries and Aquatic Sciences 2876","Statistical Areas 11-17, 28A, 28B, 29B",62
"63",312,"Chum","Area 10-Chum","51.28722","127.6819",1980,2010,31,27,44096,109139,39937.11644,147962.68768,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",63
"64",313,"Chum","Area 9-Chum","51.46556","127.7422",1980,2010,31,27,68571,302197,68570.65068,466412.136138,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",64
"65",314,"Chum","Area 8-Chum","51.62194","127.8289",1980,2010,31,27,327955,805071,623222.4319,1869690.00683,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",65
"66",315,"Chum","Area 7-Chum","52.12916","128.380149",1980,2010,31,27,281273,461876,414705.8282,720163.0221,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",66
"67",316,"Chum","Area 6-Chum","53.08889","129.1992",1980,2010,31,27,175132,667324,233205.9856,1327389.52516,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",67
"68",317,"Chum","Area 5-Chum","53.66302","130.423874",1980,2010,31,25,11180,29423,11949.17776,48558.545567,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",68
"69",318,"Chum","Area 4-Chum","54.247243","130.477433",1980,2010,31,25,17465,182998,26913.80228,361947.475444,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",69
"70",319,"Chum","Area 3-Chum","54.676678","130.502152",1980,2010,31,25,59997,210556,124488.4751,443662.64407,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",70
"71",320,"Chum","Area 2W-Chum","52.988408","132.411026",1980,2010,31,27,107850,169139,137439.7815,194253.00967,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",71
"72",321,"Chum","Area 2E-Chum","53.0175","131.5778",1980,2010,31,27,276474,321739,363555.5971,1099464.36694,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",72
"73",322,"Chum","Area 1-Chum","54.071771","132.204764",1980,2010,31,27,39351,126463,34675.82382,230679.709835,"David Peacock, Fisheries and Oceans Canada (DFO), Prince Rupert, BC; English, K., T. Mochizuki, and D. Robichaud. 2011. Review of North and Central Coast Salmon Indicator Streams and Estimating Escapement, Catch and Run Size for each Salmon Conservation Unit. Technical report, LGL Limited","",73
"74",323,"Chum","Kadashan-Chum","57.575","134.75",1969,1988,20,16,23282,59380,36978,208557,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK","",74
"75",324,"Chum","Chilkat-Chum","59.201231","135.466669",1990,2011,22,12,184000,280711,338413.0084,532222.5015,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK","",75
"76",325,"Chum","East Alsek-Chum","59.434","139.547",1960,1991,32,21,10000,39400,20833,53976,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK","",76
"77",326,"Chum","PWS-Chum","60.5","147",1965,2010,46,40,167821,443980,1285714.5,4497261,"Botz, J., G. Hollowell, T. Sheridan, R. Brenner, and S. Moffitt. 2012. 2010 Prince William Sound Area Finfish Management Report. Technical report, Fishery Management Report No. 12-06, Alaska Department of Fish and Game","",77
"78",327,"Chum","Kamishak-Chum","59.27","154.1175",1971,2010,40,34,80650,180300,140061,331127,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game","",78
"79",328,"Chum","Outer CIn-Chum","59.38389","150.7528",1970,2010,41,37,21700,59000,41837,279679,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game","",79
"80",329,"Chum","S CIn-Chum","59.52528","151.48",1970,2010,41,37,2200,11000,7211,23803,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game","",80
"81",330,"Chum","Upper CIn-Chum","61.271","150.576",1971,2012,42,35,8000,32828,15200,53474,"Patrick Shields, Alaska Department of Fish and Game (ADFG), Soldotna, AK","",81
"82",331,"Chum","Alitak-Chum","56.88528","154.1217",1978,2011,34,30,38328,113179,89543,188367,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","",82
"83",332,"Chum","E Kod-Chum","57.089858","153.187928",1978,2011,34,30,64056,310775,220040,529532,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","",83
"84",333,"Chum","SW Kod-Chum","57.264508","154.613211",1978,2011,34,30,30893.5,160039,74645,149024,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","",84
"85",334,"Chum","NE Kod-Chum","57.77889","152.3592",1978,2011,34,30,11177.5,48684,27555.5,96748,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","",85
"86",335,"Chum","NW Kod-Chum","57.856839","153.882906",1978,2011,34,30,73050,388850,317934.5,579371,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","",86
"87",336,"Chum","Mainland Kod-Chum","58.03333","154.6644",1978,2011,34,30,201650,430648,319234.5,696756,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","",87
"88",337,"Chum","Perryville-Chum","55.85417","159.3314",1962,2011,50,46,24800,342200,46331.5,424394,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ","",88
"89",338,"Chum","W Chig-Chum","56.06667","158.6756",1962,2011,50,46,32600,181000,82583,358500,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ","",89
"90",339,"Chum","Central Chig-Chum","56.59639","157.9933",1962,2011,50,46,27050,169650,55347.5,233801,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ","",90
"91",340,"Chum","E Chig-Chum","56.98528","156.5806",1962,2011,50,46,102350,402000,142718.5,452047,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ","",91
"92",341,"Chum","SW-Unimak-Chum","54.5","163.5",1962,2011,50,46,188565,377450,407800.5,1239372,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","Sum of Southwestern and Unimak Districts",92
"93",342,"Chum","W-NW AKPen-Chum","54.982","163.37",1962,2011,50,46,33250,318200,67576,329580,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","Sum of Dublin, Bechevin & Urilia Bays, Swanson Lagoon",93
"94",343,"Chum","E-NW AKPen-Chum","55.3158","162.845",1962,2011,50,46,154550,403500,206877,604016,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","Sum of Izembek and Moffet Bay",94
"95",344,"Chum","SE-SC AKPen-Chum","55.5","161",1962,2011,50,46,263525,551300,708900.5,1089253,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","Sum of Southeastern and Southcentral Districts",95
"96",345,"Chum","N AKPen-Chum","56.46","159.68",1962,2011,50,46,137875,418800,251070.5,1001075,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK","",96
"97",346,"Chum","Nushagak-Chum","58.622","158.591",1980,2011,32,25,283811,827676,692806,1764590.829,NA,"",97
"98",347,"Chum","Togiak-Chum","58.925","160.446",1978,1997,20,14,252500,347540,361329.85395,929661.6277,NA,"",98
"99",348,"Chum","Yukon-Chum","62.78","164.96",1974,2007,34,28,501400,1850300,832437.2685,2502502.175,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Fleischman, S. and B. Borba. 2009. Escapement estimation, spawner-recruit analysis, and escapement goal recommendation for fall chum salmon in the Yukon River drainage. Technical report, Fishery Manuscript Series No. 09-08, Alaska Department of Fish and Game","Fall Run",99
"100",349,"Chum","Anvik-Chum","62.78","164.96",1972,1993,22,22,502075.5,1237167,924937.5,1978450,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Clark, J. and G. Sandone. 2001. Biological escapement goal for Anvik River chum salmon. Technical report, Regional InformationI Report No. 3AO1- 06, Alaska Department of Fish and Game","",100
"101",350,"Chum","Andreafsky-Chum","62.78","164.96",1972,2007,36,30,75035,252430,103216.395,233329.15,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Fleischman, S. and D. Evenson. 2010. Run reconstruction, spawner-recruit analysis, and escapement goal recommendation for summer chum salmon in the east fork of the Andreafsky River. Technical report, Fishery Manuscript Series No. 10-04, Alaska Department of Fish and Game","",101
"102",351,"Chum","Norton Sound-Chum","64.52","165.12",1974,1995,22,22,36334.5,79795,52216.5,94408,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Clark, J. 2001a. Biological escapement goal for chum salmon in subdistrict one of Norton Sound. Technical report, Regional Information Report No. 3AO1-09, Alaska Department of Fish and Game","District 1",102
"103",352,"Chum","Kwiniuk Inlet-Chum","64.72","161.96",1965,1995,31,31,38861,145710,61794,202639,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Clark, J. 2001b. Biological escapement goals for Kwiniuk and Tubutulik chum salmon. Technical report, Regional Infomlation Report No. 3AOI-08, Alaska Department of Fish and Game","Sum of Kwiniuk and Tubutulik Rivers",103
"104",353,"Chum","Kotzebue-Chum","66.46","161.91",1962,2004,43,36,362062,1300652,561431.5,1279130,"Doug Eggers, Alaska Department of Fish and Game (ADFG), Juneau, AK; Eggers, D. and J. Clark. 2006. Assessment of historical runs and escapement goals for Kotzebue area chum salmon. Technical report, Fishery Manuscript No. 06-01, Alaska Department of Fish and Game ","",104
"105",201,"Pink","Puyallup-Pink","47.26972","122.4272",1957,2007,51,25,16577,415035,35628,1321302,"Jeff Haymes, Washington Department of Fish and Wildlife, Olympia, WA","",105
